------------------------------------------------------------------------------------
导出信息：
姓名：贺璇月
支付宝账户：18427241836
起始时间：[2026-06-08 00:00:00]    终止时间：[2026-07-08 23:59:59]
导出交易类型：[全部]
导出时间：[2026-07-08 18:41:19]
共44笔记录
收入：0笔 0.00元
支出：40笔 1574.94元
不计收支：4笔 116.35元

特别提示：
1.本回单内容可表明支付宝受理了相应支付交易申请，因系统原因或通讯故障等偶发因素导致本回单与实际交易结果不符时，以实际交易情况为准；
2.请勿将本回单作为收款方发货的凭据使用，请查证账户实际到账情况后再进行发货操作；
3.支付宝快捷支付等非余额支付方式可能既产生支付宝交易也同步产生银行交易，因此请勿使用本回单进行重复记账；
4.本回单如经任何涂改、编造，均立即失去效力；
5.部分账单如：充值提现、账户转存或者个人设置收支等不计入为收入或者支出，记为不计收支类；
6.因统计逻辑不同，明细金额直接累加后，可能会和下方统计金额不一致，请以实际交易金额为准；
7.禁止将本回单用于非法用途；
8.本明细仅供个人对账使用。

------------------------支付宝支付科技有限公司  电子客户回单------------------------
交易时间,交易分类,交易对方,对方账号,商品说明,收/支,金额,收/付款方式,交易状态,交易订单号,商家订单号,备注,
2026-07-08 15:17:40,医疗健康,淘宝闪购,ele***@service.aliyun.com,七悦康医疗器械(光谷店),支出,23.65,工商银行储蓄卡(1723),交易成功,2026070823001128081424136193	,13150600726070845834801618786	,,
2026-07-08 11:54:40,餐饮美食,淘宝闪购,e50***@alibaba-inc.com,海南鸡饭(光谷天地店)外卖订单,支出,19.10,工商银行储蓄卡(1723),交易成功,2026070823001128081420592852	,13110600726070817422761618786	,,
2026-07-07 18:22:22,餐饮美食,武汉巨浪餐饮服务有限责任公司,/,武汉巨浪餐饮服务有限责任公司武汉巨浪餐饮服务有限责任公司,支出,21.00,工商银行储蓄卡(1723),交易成功,2026070723001428081414985863	,591266000048180000189366749722126070718222122547	,,
2026-07-07 14:53:01,交通出行,武汉市公共交通集团有限责任公司,whg***@sina.com,乘车时间：2026-07-07 14:52:59,支出,1.60,农业银行储蓄卡(9270),交易成功,2026070722001428081416295927	,811_0000000000218959_20260707145259_50311	,,
2026-07-07 13:41:03,交通出行,武汉市公共交通集团有限责任公司,whg***@sina.com,乘车时间：2026-07-07 13:40:58,支出,1.60,农业银行储蓄卡(9270),交易成功,2026070722001428081414774026	,586_0000000000216039_20260707134058_76006	,,
2026-07-07 13:25:23,交通出行,武汉市公共交通集团有限责任公司,whg***@sina.com,乘车时间：2026-07-07 13:25:20,支出,1.60,农业银行储蓄卡(9270),交易成功,2026070722001428081413131980	,732_0000000000216481_20260707132520_49711	,,
2026-07-07 12:52:30,日用百货,中百罗森,whz***@sina.com,Lawson,支出,10.90,工商银行储蓄卡(1723),交易成功,2026070723001428081411346438	,351338015800001	,,
2026-07-06 17:47:12,餐饮美食,尚味哥鲜肉蛋堡,133******48,收钱码收款,支出,9.00,工商银行储蓄卡(1723),交易成功,2026070622001428081409286816	,17833312300242156528083	,,
2026-07-06 16:13:51,交通出行,滴滴出行,chu***@didichuxing.com,特惠快车打车-杨师傅-07月06日行程,支出,46.70,工商银行储蓄卡(1723),交易成功,2026070623001428081409296916	,212_202607068706916801189433	,,
2026-07-06 13:44:57,交通出行,高德打车,aut***@autonavi.com,高德打车订单,支出,29.05,农业银行储蓄卡(9270),交易成功,2026070623001428081404028569	,0003N202607060000000016400343241	,,
